Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1779648491,2026-05-24T18:48:11Z,TWB402,"49.017994,2.539504",0,0,264
1779648560,2026-05-24T18:49:20Z,TWB402,"49.017654,2.533211",0,12,264
1779648568,2026-05-24T18:49:28Z,TWB402,"49.01762,2.53256",0,11,267
1779648577,2026-05-24T18:49:37Z,TWB402,"49.017586,2.531926",0,10,264
1779648584,2026-05-24T18:49:44Z,TWB402,"49.017551,2.531391",0,11,264
1779648694,2026-05-24T18:51:34Z,TWB402,"49.017059,2.522225",0,0,264
1779648704,2026-05-24T18:51:44Z,TWB402,"49.017052,2.521652",0,7,272
1779648742,2026-05-24T18:52:22Z,TWB402,"49.018307,2.521327",0,11,354
1779648763,2026-05-24T18:52:43Z,TWB402,"49.019356,2.5212",0,0,354
1779648797,2026-05-24T18:53:17Z,TWB402,"49.020882,2.521063",0,0,2
1779648875,2026-05-24T18:54:35Z,TWB402,"49.02124,2.524362",0,0,84
1779648916,2026-05-24T18:55:16Z,TWB402,"49.023193,2.561434",75,191,85
1779648924,2026-05-24T18:55:24Z,TWB402,"49.023743,2.572702",475,187,86
1779648933,2026-05-24T18:55:33Z,TWB402,"49.024208,2.583666",825,188,86
1779648941,2026-05-24T18:55:41Z,TWB402,"49.024704,2.594675",1200,188,85
1779648949,2026-05-24T18:55:49Z,TWB402,"49.025345,2.606154",1600,188,85
1779648958,2026-05-24T18:55:58Z,TWB402,"49.025932,2.616409",1900,187,84
1779648964,2026-05-24T18:56:04Z,TWB402,"49.026398,2.624465",2100,187,84
1779648972,2026-05-24T18:56:12Z,TWB402,"49.027039,2.635944",2350,188,85
1779648980,2026-05-24T18:56:20Z,TWB402,"49.027653,2.646693",2575,189,85
1779648989,2026-05-24T18:56:29Z,TWB402,"49.028366,2.658058",2825,190,84
1779648997,2026-05-24T18:56:37Z,TWB402,"49.029003,2.669316",3075,192,84
1779649005,2026-05-24T18:56:45Z,TWB402,"49.029602,2.680523",3275,195,85
1779649012,2026-05-24T18:56:52Z,TWB402,"49.030014,2.689256",3350,202,85
1779649021,2026-05-24T18:57:01Z,TWB402,"49.030701,2.702425",3450,211,85
1779649029,2026-05-24T18:57:09Z,TWB402,"49.031425,2.715575",3550,222,85
1779649036,2026-05-24T18:57:16Z,TWB402,"49.031982,2.726581",3600,231,85
1779649044,2026-05-24T18:57:24Z,TWB402,"49.032635,2.740005",3700,240,85
1779649053,2026-05-24T18:57:33Z,TWB402,"49.033333,2.754605",3875,247,85
1779649059,2026-05-24T18:57:39Z,TWB402,"49.033905,2.766442",3975,254,85
1779649068,2026-05-24T18:57:48Z,TWB402,"49.034637,2.781583",4125,262,85
1779649076,2026-05-24T18:57:56Z,TWB402,"49.035416,2.798345",4300,270,85
1779649083,2026-05-24T18:58:03Z,TWB402,"49.036034,2.810838",4450,276,85
1779649091,2026-05-24T18:58:11Z,TWB402,"49.036743,2.826515",4625,283,85
1779649100,2026-05-24T18:58:20Z,TWB402,"49.037567,2.844013",4925,286,85
1779649108,2026-05-24T18:58:28Z,TWB402,"49.038361,2.860637",5225,288,85
1779649123,2026-05-24T18:58:43Z,TWB402,"49.039902,2.891306",5775,291,85
1779649138,2026-05-24T18:58:58Z,TWB402,"49.041367,2.922293",6300,295,85
1779649153,2026-05-24T18:59:13Z,TWB402,"49.042511,2.953209",6850,298,88
1779649164,2026-05-24T18:59:24Z,TWB402,"49.041687,2.975886",7250,299,95
1779649166,2026-05-24T18:59:26Z,TWB402,"49.041367,2.980042",7325,300,96
1779649168,2026-05-24T18:59:28Z,TWB402,"49.040817,2.985535",7425,300,97
1779649170,2026-05-24T18:59:30Z,TWB402,"49.040359,2.989901",7500,300,98
1779649172,2026-05-24T18:59:32Z,TWB402,"49.039944,2.993558",7575,302,99
1779649174,2026-05-24T18:59:34Z,TWB402,"49.039352,2.997859",7650,302,101
1779649176,2026-05-24T18:59:36Z,TWB402,"49.038712,3.002014",7725,302,102
1779649178,2026-05-24T18:59:38Z,TWB402,"49.037888,3.007155",7800,302,103
1779649180,2026-05-24T18:59:40Z,TWB402,"49.037151,3.011338",7900,302,104
1779649182,2026-05-24T18:59:42Z,TWB402,"49.036453,3.015241",7950,303,105
1779649185,2026-05-24T18:59:45Z,TWB402,"49.03566,3.019361",8025,303,106
1779649187,2026-05-24T18:59:47Z,TWB402,"49.034821,3.023776",8100,303,106
1779649189,2026-05-24T18:59:49Z,TWB402,"49.033985,3.028179",8200,304,106
1779649191,2026-05-24T18:59:51Z,TWB402,"49.033218,3.032438",8275,304,105
1779649193,2026-05-24T18:59:53Z,TWB402,"49.032261,3.03772",8350,305,105
1779649195,2026-05-24T18:59:55Z,TWB402,"49.031479,3.042156",8425,305,105
1779649197,2026-05-24T18:59:57Z,TWB402,"49.030884,3.045537",8500,305,104
1779649199,2026-05-24T18:59:59Z,TWB402,"49.030106,3.049903",8575,306,104
1779649212,2026-05-24T19:00:12Z,TWB402,"49.025253,3.077228",9050,308,105
1779649225,2026-05-24T19:00:25Z,TWB402,"49.020157,3.105011",9550,310,105
1779649238,2026-05-24T19:00:38Z,TWB402,"49.015137,3.132301",10025,312,105
1779649251,2026-05-24T19:00:51Z,TWB402,"49.010242,3.159509",10475,316,105
1779649264,2026-05-24T19:01:04Z,TWB402,"49.00526,3.18683",10675,328,105
1779649278,2026-05-24T19:01:18Z,TWB402,"48.999302,3.219139",10875,341,105
1779649290,2026-05-24T19:01:30Z,TWB402,"48.99395,3.248411",11125,351,105
1779649303,2026-05-24T19:01:43Z,TWB402,"48.988495,3.278363",11550,356,105
1779649318,2026-05-24T19:01:58Z,TWB402,"48.981583,3.315829",12150,360,105
1779649350,2026-05-24T19:02:30Z,TWB402,"48.967026,3.394494",13425,368,105
1779649382,2026-05-24T19:03:02Z,TWB402,"48.952057,3.474638",14575,380,105
1779649413,2026-05-24T19:03:33Z,TWB402,"48.938965,3.556824",15725,386,99
1779649445,2026-05-24T19:04:05Z,TWB402,"48.93306,3.642691",16900,391,94
1779649477,2026-05-24T19:04:37Z,TWB402,"48.928574,3.729647",18050,396,94
1779649508,2026-05-24T19:05:08Z,TWB402,"48.923859,3.818172",19250,398,94
1779649540,2026-05-24T19:05:40Z,TWB402,"48.919048,3.906796",20325,402,94
1779649572,2026-05-24T19:06:12Z,TWB402,"48.913971,3.998445",21525,402,94
1779649604,2026-05-24T19:06:44Z,TWB402,"48.909073,4.086139",22400,407,94
1779649636,2026-05-24T19:07:16Z,TWB402,"48.903625,4.178185",23275,414,96
1779649651,2026-05-24T19:07:31Z,TWB402,"48.897446,4.22199",23675,415,105
1779649654,2026-05-24T19:07:34Z,TWB402,"48.896236,4.228002",23750,415,106
1779649656,2026-05-24T19:07:36Z,TWB402,"48.894653,4.235229",23800,416,108
1779649658,2026-05-24T19:07:38Z,TWB402,"48.89328,4.241145",23875,417,109
1779649660,2026-05-24T19:07:40Z,TWB402,"48.892094,4.245927",23900,417,110
1779649662,2026-05-24T19:07:42Z,TWB402,"48.890652,4.25142",23950,418,111
1779649664,2026-05-24T19:07:44Z,TWB402,"48.889019,4.257058",24000,419,112
1779649666,2026-05-24T19:07:46Z,TWB402,"48.887421,4.262625",24050,420,114
1779649668,2026-05-24T19:07:48Z,TWB402,"48.885406,4.268963",24125,419,115
1779649671,2026-05-24T19:07:51Z,TWB402,"48.883713,4.274115",24175,420,116
1779649673,2026-05-24T19:07:53Z,TWB402,"48.881527,4.280404",24225,421,117
1779649675,2026-05-24T19:07:55Z,TWB402,"48.880005,4.284739",24250,421,118
1779649677,2026-05-24T19:07:57Z,TWB402,"48.877716,4.290936",24325,422,118
1779649679,2026-05-24T19:07:59Z,TWB402,"48.875751,4.296233",24350,423,119
1779649681,2026-05-24T19:08:01Z,TWB402,"48.873844,4.301436",24400,424,119
1779649683,2026-05-24T19:08:03Z,TWB402,"48.871902,4.306781",24450,424,118
1779649685,2026-05-24T19:08:05Z,TWB402,"48.869614,4.313049",24525,424,118
1779649687,2026-05-24T19:08:07Z,TWB402,"48.867737,4.318261",24575,426,118
1779649689,2026-05-24T19:08:09Z,TWB402,"48.865791,4.323626",24625,425,118
1779649721,2026-05-24T19:08:41Z,TWB402,"48.83567,4.405951",25375,430,119
1779649753,2026-05-24T19:09:13Z,TWB402,"48.80439,4.490734",25775,444,119
1779649785,2026-05-24T19:09:45Z,TWB402,"48.771561,4.579538",26475,451,119
1779649816,2026-05-24T19:10:16Z,TWB402,"48.739517,4.666302",27150,456,119
1779649848,2026-05-24T19:10:48Z,TWB402,"48.706303,4.755851",27775,463,119
1779649880,2026-05-24T19:11:20Z,TWB402,"48.673019,4.84526",28475,466,119
1779649912,2026-05-24T19:11:52Z,TWB402,"48.638809,4.936946",29100,472,119
1779649943,2026-05-24T19:12:23Z,TWB402,"48.604752,5.027936",29750,474,119
1779649975,2026-05-24T19:12:55Z,TWB402,"48.570744,5.118328",30375,477,119
1779650006,2026-05-24T19:13:26Z,TWB402,"48.536434,5.209254",30925,479,119
1779650038,2026-05-24T19:13:58Z,TWB402,"48.501755,5.300903",31000,477,119
1779650069,2026-05-24T19:14:29Z,TWB402,"48.467148,5.391963",31000,478,119
1779650101,2026-05-24T19:15:01Z,TWB402,"48.432999,5.481473",31000,476,119
1779650132,2026-05-24T19:15:32Z,TWB402,"48.398621,5.571406",31000,476,119
1779650163,2026-05-24T19:16:03Z,TWB402,"48.364517,5.6602",31000,475,119
1779650195,2026-05-24T19:16:35Z,TWB402,"48.329929,5.750981",31000,476,118
1779650227,2026-05-24T19:17:07Z,TWB402,"48.301624,5.845594",31000,473,110
1779650258,2026-05-24T19:17:38Z,TWB402,"48.279922,5.943463",31000,474,108
1779650290,2026-05-24T19:18:10Z,TWB402,"48.258499,6.041354",31000,472,107
1779650321,2026-05-24T19:18:41Z,TWB402,"48.236965,6.140057",31000,471,108
1779650353,2026-05-24T19:19:13Z,TWB402,"48.215378,6.238051",31000,471,108
1779650385,2026-05-24T19:19:45Z,TWB402,"48.193176,6.338266",31000,471,108
1779650417,2026-05-24T19:20:17Z,TWB402,"48.171417,6.435965",31000,471,108
1779650448,2026-05-24T19:20:48Z,TWB402,"48.149963,6.531853",31000,471,108
1779650480,2026-05-24T19:21:20Z,TWB402,"48.12767,6.630936",31000,471,108
1779650511,2026-05-24T19:21:51Z,TWB402,"48.105732,6.727999",31000,472,108
1779650543,2026-05-24T19:22:23Z,TWB402,"48.084038,6.823777",31000,470,108
1779650574,2026-05-24T19:22:54Z,TWB402,"48.061882,6.921105",31000,470,108
1779650607,2026-05-24T19:23:27Z,TWB402,"48.039394,7.019278",31000,471,108
1779650638,2026-05-24T19:23:58Z,TWB402,"48.016846,7.11763",31000,471,108
1779650669,2026-05-24T19:24:29Z,TWB402,"47.994736,7.21328",31000,470,109
1779650701,2026-05-24T19:25:01Z,TWB402,"47.97258,7.308861",31000,470,108
1779650732,2026-05-24T19:25:32Z,TWB402,"47.950294,7.404503",31000,471,109
1779650763,2026-05-24T19:26:03Z,TWB402,"47.928131,7.499199",31000,471,109
1779650795,2026-05-24T19:26:35Z,TWB402,"47.90538,7.595947",31000,470,109
1779650826,2026-05-24T19:27:06Z,TWB402,"47.882004,7.689725",31000,470,110
1779650857,2026-05-24T19:27:37Z,TWB402,"47.857796,7.783743",31000,470,110
1779650888,2026-05-24T19:28:08Z,TWB402,"47.833309,7.879028",31000,469,110
1779650920,2026-05-24T19:28:40Z,TWB402,"47.809067,7.973808",31000,469,110
1779650951,2026-05-24T19:29:11Z,TWB402,"47.784622,8.069183",31000,470,110
1779650983,2026-05-24T19:29:43Z,TWB402,"47.760456,8.163687",31000,469,110
1779651015,2026-05-24T19:30:15Z,TWB402,"47.742344,8.260733",31000,466,101
1779651046,2026-05-24T19:30:46Z,TWB402,"47.734085,8.360939",31000,465,94
1779651078,2026-05-24T19:31:18Z,TWB402,"47.72773,8.462078",31000,466,95
1779651110,2026-05-24T19:31:50Z,TWB402,"47.721542,8.56295",31000,465,95
1779651141,2026-05-24T19:32:21Z,TWB402,"47.715347,8.663424",31000,465,95
1779651172,2026-05-24T19:32:52Z,TWB402,"47.709202,8.762583",31000,466,95
1779651204,2026-05-24T19:33:24Z,TWB402,"47.702957,8.861435",31000,465,95
1779651235,2026-05-24T19:33:55Z,TWB402,"47.696678,8.9609",31000,466,95
1779651267,2026-05-24T19:34:27Z,TWB402,"47.690277,9.059944",31000,465,95
1779651298,2026-05-24T19:34:58Z,TWB402,"47.683731,9.160057",31000,465,95
1779651329,2026-05-24T19:35:29Z,TWB402,"47.677265,9.258306",31000,464,95
1779651360,2026-05-24T19:36:00Z,TWB402,"47.670547,9.358086",31000,464,95
1779651391,2026-05-24T19:36:31Z,TWB402,"47.66391,9.455795",31000,464,95
1779651423,2026-05-24T19:37:03Z,TWB402,"47.6572,9.554091",31000,466,95
1779651454,2026-05-24T19:37:34Z,TWB402,"47.650219,9.653532",31000,466,96
1779651485,2026-05-24T19:38:05Z,TWB402,"47.64333,9.751423",31000,466,96
1779651516,2026-05-24T19:38:36Z,TWB402,"47.636208,9.850793",31000,464,96
1779651548,2026-05-24T19:39:08Z,TWB402,"47.628937,9.950729",31000,464,96
1779651579,2026-05-24T19:39:39Z,TWB402,"47.621796,10.048164",31000,464,96
1779651610,2026-05-24T19:40:10Z,TWB402,"47.614471,10.147591",31000,464,96
1779651641,2026-05-24T19:40:41Z,TWB402,"47.607193,10.244751",31000,463,96
1779651673,2026-05-24T19:41:13Z,TWB402,"47.599548,10.345001",31000,464,96
1779651704,2026-05-24T19:41:44Z,TWB402,"47.59203,10.443491",31000,466,96
1779651736,2026-05-24T19:42:16Z,TWB402,"47.584076,10.54509",31000,466,96
1779651767,2026-05-24T19:42:47Z,TWB402,"47.57634,10.643692",31000,466,96
1779651799,2026-05-24T19:43:19Z,TWB402,"47.568649,10.741333",31000,466,96
1779651830,2026-05-24T19:43:50Z,TWB402,"47.560638,10.840965",31000,467,96
1779651862,2026-05-24T19:44:22Z,TWB402,"47.552414,10.941397",31000,467,96
1779651893,2026-05-24T19:44:53Z,TWB402,"47.544205,11.041672",31000,467,97
1779651925,2026-05-24T19:45:25Z,TWB402,"47.535839,11.142461",31000,467,97
1779651957,2026-05-24T19:45:57Z,TWB402,"47.527451,11.242516",31000,467,97
1779651988,2026-05-24T19:46:28Z,TWB402,"47.518936,11.342422",31000,466,97
1779652020,2026-05-24T19:47:00Z,TWB402,"47.510376,11.441917",31000,466,97
1779652052,2026-05-24T19:47:32Z,TWB402,"47.501671,11.54318",31000,466,97
1779652084,2026-05-24T19:48:04Z,TWB402,"47.492889,11.643173",31000,468,97
1779652115,2026-05-24T19:48:35Z,TWB402,"47.484009,11.743492",31000,468,97
1779652146,2026-05-24T19:49:06Z,TWB402,"47.475174,11.842987",31000,468,97
1779652178,2026-05-24T19:49:38Z,TWB402,"47.46629,11.941646",31000,468,97
1779652209,2026-05-24T19:50:09Z,TWB402,"47.457401,12.038692",31000,468,97
1779652240,2026-05-24T19:50:40Z,TWB402,"47.448029,12.14003",31000,468,97
1779652272,2026-05-24T19:51:12Z,TWB402,"47.438824,12.239051",31000,468,97
1779652303,2026-05-24T19:51:43Z,TWB402,"47.429562,12.33814",31000,468,97
1779652335,2026-05-24T19:52:15Z,TWB402,"47.420197,12.436592",31000,468,97
1779652366,2026-05-24T19:52:46Z,TWB402,"47.410709,12.535612",31000,466,98
1779652398,2026-05-24T19:53:18Z,TWB402,"47.401119,12.635122",31000,465,98
1779652429,2026-05-24T19:53:49Z,TWB402,"47.391495,12.734047",31000,466,98
1779652461,2026-05-24T19:54:21Z,TWB402,"47.38179,12.832924",31000,466,98
1779652492,2026-05-24T19:54:52Z,TWB402,"47.372116,12.930908",31000,468,98
1779652524,2026-05-24T19:55:24Z,TWB402,"47.362202,13.030278",31000,470,98
1779652555,2026-05-24T19:55:55Z,TWB402,"47.351944,13.131546",31000,470,98
1779652586,2026-05-24T19:56:26Z,TWB402,"47.341873,13.229805",31000,470,98
1779652618,2026-05-24T19:56:58Z,TWB402,"47.331894,13.327034",31000,470,98
1779652649,2026-05-24T19:57:29Z,TWB402,"47.321606,13.425715",31000,470,98
1779652679,2026-05-24T19:57:59Z,TWB402,"47.31155,13.522409",31000,468,98
1779652711,2026-05-24T19:58:31Z,TWB402,"47.300308,13.621536",31000,469,100
1779652742,2026-05-24T19:59:02Z,TWB402,"47.287491,13.719383",31000,470,101
1779652774,2026-05-24T19:59:34Z,TWB402,"47.274399,13.818123",31000,470,100
1779652805,2026-05-24T20:00:05Z,TWB402,"47.261673,13.916313",31000,470,100
1779652836,2026-05-24T20:00:36Z,TWB402,"47.249031,14.01447",31000,472,100
