Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1779663960,2026-05-24T23:06:00Z,THY86,"41.248936,28.73555",0,1,174
1779664832,2026-05-24T23:20:32Z,THY86,"41.249146,28.735537",0,3,171
1779664847,2026-05-24T23:20:47Z,THY86,"41.249359,28.735535",0,3,165
1779664869,2026-05-24T23:21:09Z,THY86,"41.24966,28.735458",0,3,151
1779664884,2026-05-24T23:21:24Z,THY86,"41.249866,28.735334",0,3,149
1779664908,2026-05-24T23:21:48Z,THY86,"41.25016,28.735153",0,3,160
1779664929,2026-05-24T23:22:09Z,THY86,"41.250439,28.735037",0,3,171
1779665300,2026-05-24T23:28:20Z,THY86,"41.25,28.734802",0,5,208
1779665310,2026-05-24T23:28:30Z,THY86,"41.249962,28.734585",0,5,233
1779665319,2026-05-24T23:28:39Z,THY86,"41.249943,28.734238",0,5,255
1779665327,2026-05-24T23:28:47Z,THY86,"41.249939,28.734007",0,5,261
1779665334,2026-05-24T23:28:54Z,THY86,"41.249943,28.733749",0,6,261
1779665340,2026-05-24T23:29:00Z,THY86,"41.249943,28.733536",0,7,264
1779665345,2026-05-24T23:29:05Z,THY86,"41.249943,28.733276",0,7,264
1779665353,2026-05-24T23:29:13Z,THY86,"41.249939,28.732931",0,8,264
1779665360,2026-05-24T23:29:20Z,THY86,"41.249931,28.73259",0,9,264
1779665367,2026-05-24T23:29:27Z,THY86,"41.249928,28.732214",0,8,264
1779665374,2026-05-24T23:29:34Z,THY86,"41.249928,28.731871",0,8,264
1779665378,2026-05-24T23:29:38Z,THY86,"41.24995,28.731667",0,8,270
1779665384,2026-05-24T23:29:44Z,THY86,"41.250076,28.731464",0,9,298
1779665389,2026-05-24T23:29:49Z,THY86,"41.250298,28.731432",0,8,334
1779665396,2026-05-24T23:29:56Z,THY86,"41.250542,28.731417",0,9,348
1779665401,2026-05-24T23:30:01Z,THY86,"41.250767,28.731415",0,9,351
1779665407,2026-05-24T23:30:07Z,THY86,"41.251057,28.731401",0,10,354
1779665411,2026-05-24T23:30:11Z,THY86,"41.251259,28.7314",0,11,354
1779665416,2026-05-24T23:30:16Z,THY86,"41.251534,28.731401",0,12,354
1779665424,2026-05-24T23:30:24Z,THY86,"41.251953,28.731386",0,13,354
1779665430,2026-05-24T23:30:30Z,THY86,"41.252266,28.731384",0,13,354
1779665437,2026-05-24T23:30:37Z,THY86,"41.252724,28.731369",0,10,354
1779665446,2026-05-24T23:30:46Z,THY86,"41.253094,28.731323",0,9,345
1779665452,2026-05-24T23:30:52Z,THY86,"41.253265,28.731106",0,9,317
1779665455,2026-05-24T23:30:55Z,THY86,"41.253326,28.730902",0,9,298
1779665460,2026-05-24T23:31:00Z,THY86,"41.253338,28.730652",0,10,275
1779665464,2026-05-24T23:31:04Z,THY86,"41.25333,28.730392",0,11,267
1779665467,2026-05-24T23:31:07Z,THY86,"41.253326,28.730154",0,12,264
1779665470,2026-05-24T23:31:10Z,THY86,"41.253326,28.729919",0,13,264
1779665474,2026-05-24T23:31:14Z,THY86,"41.253311,28.729576",0,14,264
1779665477,2026-05-24T23:31:17Z,THY86,"41.253307,28.729309",0,14,264
1779665481,2026-05-24T23:31:21Z,THY86,"41.2533,28.728998",0,14,264
1779665484,2026-05-24T23:31:24Z,THY86,"41.2533,28.728764",0,13,264
1779665491,2026-05-24T23:31:31Z,THY86,"41.253296,28.728149",0,13,264
1779665498,2026-05-24T23:31:38Z,THY86,"41.253296,28.727554",0,14,264
1779665506,2026-05-24T23:31:46Z,THY86,"41.253284,28.726929",0,14,264
1779665513,2026-05-24T23:31:53Z,THY86,"41.253277,28.726315",0,14,264
1779665521,2026-05-24T23:32:01Z,THY86,"41.253265,28.72558",0,15,264
1779665529,2026-05-24T23:32:09Z,THY86,"41.253262,28.724854",0,15,264
1779665536,2026-05-24T23:32:16Z,THY86,"41.25325,28.724167",0,15,264
1779665543,2026-05-24T23:32:23Z,THY86,"41.253254,28.723724",0,10,264
1779665550,2026-05-24T23:32:30Z,THY86,"41.253277,28.72327",0,9,270
1779665555,2026-05-24T23:32:35Z,THY86,"41.253326,28.723021",0,9,275
1779665560,2026-05-24T23:32:40Z,THY86,"41.25341,28.722794",0,9,286
1779665566,2026-05-24T23:32:46Z,THY86,"41.253559,28.722534",0,9,298
1779665573,2026-05-24T23:32:53Z,THY86,"41.253777,28.722305",0,9,315
1779665578,2026-05-24T23:32:58Z,THY86,"41.253983,28.722198",0,8,329
1779665584,2026-05-24T23:33:04Z,THY86,"41.254196,28.722147",0,8,340
1779665591,2026-05-24T23:33:11Z,THY86,"41.25444,28.722116",0,8,348
1779665595,2026-05-24T23:33:15Z,THY86,"41.254662,28.722116",0,9,351
1779665600,2026-05-24T23:33:20Z,THY86,"41.254871,28.722101",0,9,351
1779665606,2026-05-24T23:33:26Z,THY86,"41.255116,28.722092",0,9,354
1779665612,2026-05-24T23:33:32Z,THY86,"41.255367,28.722092",0,8,354
1779665620,2026-05-24T23:33:40Z,THY86,"41.255608,28.722092",0,8,354
1779665628,2026-05-24T23:33:48Z,THY86,"41.255928,28.722076",0,7,354
1779665635,2026-05-24T23:33:55Z,THY86,"41.256176,28.722069",0,7,354
1779665643,2026-05-24T23:34:03Z,THY86,"41.256466,28.722061",0,8,354
1779665650,2026-05-24T23:34:10Z,THY86,"41.256683,28.722061",0,8,354
1779665658,2026-05-24T23:34:18Z,THY86,"41.257015,28.722061",0,8,354
1779665665,2026-05-24T23:34:25Z,THY86,"41.257282,28.722069",0,9,357
1779665672,2026-05-24T23:34:32Z,THY86,"41.257599,28.722122",0,10,357
1779665679,2026-05-24T23:34:39Z,THY86,"41.257942,28.722183",0,11,2
1779665684,2026-05-24T23:34:44Z,THY86,"41.258213,28.722225",0,12,2
1779665688,2026-05-24T23:34:48Z,THY86,"41.258446,28.722273",0,13,2
1779665691,2026-05-24T23:34:51Z,THY86,"41.258667,28.722303",0,14,2
1779665695,2026-05-24T23:34:55Z,THY86,"41.258934,28.722351",0,14,2
1779665703,2026-05-24T23:35:03Z,THY86,"41.259407,28.722427",0,13,2
1779665710,2026-05-24T23:35:10Z,THY86,"41.259808,28.722504",0,12,2
1779665718,2026-05-24T23:35:18Z,THY86,"41.260231,28.72258",0,11,2
1779665724,2026-05-24T23:35:24Z,THY86,"41.260574,28.722631",0,11,2
1779665731,2026-05-24T23:35:31Z,THY86,"41.260906,28.722702",0,11,2
1779665738,2026-05-24T23:35:38Z,THY86,"41.26125,28.722755",0,10,2
1779665745,2026-05-24T23:35:45Z,THY86,"41.261551,28.722818",0,8,2
1779665752,2026-05-24T23:35:52Z,THY86,"41.26181,28.722855",0,8,2
1779665759,2026-05-24T23:35:59Z,THY86,"41.261971,28.723083",0,8,36
1779665764,2026-05-24T23:36:04Z,THY86,"41.261993,28.723297",0,7,61
1779665769,2026-05-24T23:36:09Z,THY86,"41.261993,28.723505",0,7,75
1779665775,2026-05-24T23:36:15Z,THY86,"41.261993,28.723724",0,5,81
1779665784,2026-05-24T23:36:24Z,THY86,"41.262005,28.723927",0,3,81
1779665815,2026-05-24T23:36:55Z,THY86,"41.262005,28.724129",0,2,81
1779665826,2026-05-24T23:37:06Z,THY86,"41.262005,28.724348",0,4,84
1779665834,2026-05-24T23:37:14Z,THY86,"41.26202,28.72455",0,5,84
1779665840,2026-05-24T23:37:20Z,THY86,"41.26202,28.724754",0,5,84
1779665848,2026-05-24T23:37:28Z,THY86,"41.262016,28.724976",0,5,84
1779665853,2026-05-24T23:37:33Z,THY86,"41.262043,28.725206",0,6,78
1779665861,2026-05-24T23:37:41Z,THY86,"41.262253,28.7253",0,6,28
1779665873,2026-05-24T23:37:53Z,THY86,"41.26247,28.725237",0,4,354
1779665882,2026-05-24T23:38:02Z,THY86,"41.262714,28.725235",0,8,354
1779665887,2026-05-24T23:38:07Z,THY86,"41.262955,28.725235",0,15,354
1779665889,2026-05-24T23:38:09Z,THY86,"41.263229,28.725235",0,28,354
1779665892,2026-05-24T23:38:12Z,THY86,"41.263599,28.725222",0,37,354
1779665893,2026-05-24T23:38:13Z,THY86,"41.263832,28.725222",0,41,354
1779665894,2026-05-24T23:38:14Z,THY86,"41.264122,28.72522",0,46,354
1779665901,2026-05-24T23:38:21Z,THY86,"41.266102,28.725176",0,76,354
1779665906,2026-05-24T23:38:26Z,THY86,"41.26828,28.725128",0,98,359
1779665908,2026-05-24T23:38:28Z,THY86,"41.26918,28.725098",75,106,358
1779665910,2026-05-24T23:38:30Z,THY86,"41.270325,28.725098",75,114,358
1779665914,2026-05-24T23:38:34Z,THY86,"41.272064,28.725098",75,125,359
1779665916,2026-05-24T23:38:36Z,THY86,"41.273529,28.725037",50,136,359
1779665918,2026-05-24T23:38:38Z,THY86,"41.275085,28.725037",50,143,359
1779665921,2026-05-24T23:38:41Z,THY86,"41.277191,28.724976",50,154,359
1779665923,2026-05-24T23:38:43Z,THY86,"41.278893,28.724941",50,161,359
1779665926,2026-05-24T23:38:46Z,THY86,"41.28067,28.724915",25,171,358
1779665929,2026-05-24T23:38:49Z,THY86,"41.282639,28.724854",25,177,359
1779665931,2026-05-24T23:38:51Z,THY86,"41.284714,28.724815",0,186,359
1779665934,2026-05-24T23:38:54Z,THY86,"41.288296,28.724754",25,193,359
1779665941,2026-05-24T23:39:01Z,THY86,"41.294037,28.724609",175,197,359
1779665950,2026-05-24T23:39:10Z,THY86,"41.301865,28.724426",525,197,358
1779665956,2026-05-24T23:39:16Z,THY86,"41.307617,28.724379",850,196,359
1779665965,2026-05-24T23:39:25Z,THY86,"41.315994,28.724504",1250,197,359
1779665971,2026-05-24T23:39:31Z,THY86,"41.321674,28.724628",1475,200,1
1779665979,2026-05-24T23:39:39Z,THY86,"41.32933,28.724915",1650,208,2
1779665988,2026-05-24T23:39:48Z,THY86,"41.338074,28.725403",1800,218,1
1779665992,2026-05-24T23:39:52Z,THY86,"41.342251,28.725315",1900,223,357
1779665994,2026-05-24T23:39:54Z,THY86,"41.344254,28.725098",1925,225,354
1779665996,2026-05-24T23:39:56Z,THY86,"41.346542,28.72467",2000,228,351
1779665998,2026-05-24T23:39:58Z,THY86,"41.348648,28.724121",2025,230,348
1779666000,2026-05-24T23:40:00Z,THY86,"41.350708,28.723389",2075,234,345
1779666003,2026-05-24T23:40:03Z,THY86,"41.353409,28.722168",2125,236,341
1779666005,2026-05-24T23:40:05Z,THY86,"41.355469,28.721069",2175,239,338
1779666007,2026-05-24T23:40:07Z,THY86,"41.357529,28.719788",2225,242,333
1779666009,2026-05-24T23:40:09Z,THY86,"41.359009,28.718761",2250,246,332
1779666011,2026-05-24T23:40:11Z,THY86,"41.361568,28.716702",2325,248,328
1779666013,2026-05-24T23:40:13Z,THY86,"41.363937,28.714539",2400,249,325
1779666015,2026-05-24T23:40:15Z,THY86,"41.365768,28.712646",2450,252,322
1779666018,2026-05-24T23:40:18Z,THY86,"41.367668,28.710522",2525,254,317
1779666020,2026-05-24T23:40:20Z,THY86,"41.369484,28.708086",2600,256,314
1779666022,2026-05-24T23:40:22Z,THY86,"41.371033,28.705811",2675,258,311
1779666024,2026-05-24T23:40:24Z,THY86,"41.372929,28.702719",2750,259,308
1779666026,2026-05-24T23:40:26Z,THY86,"41.374649,28.699463",2850,261,305
1779666029,2026-05-24T23:40:29Z,THY86,"41.376068,28.696411",2950,263,302
1779666031,2026-05-24T23:40:31Z,THY86,"41.377121,28.693848",3025,266,297
1779666033,2026-05-24T23:40:33Z,THY86,"41.37822,28.690857",3100,268,294
1779666035,2026-05-24T23:40:35Z,THY86,"41.379181,28.687805",3175,270,291
1779666037,2026-05-24T23:40:37Z,THY86,"41.380234,28.683716",3275,272,288
1779666039,2026-05-24T23:40:39Z,THY86,"41.380875,28.680481",3375,272,284
1779666041,2026-05-24T23:40:41Z,THY86,"41.381447,28.676689",3450,275,279
1779666043,2026-05-24T23:40:43Z,THY86,"41.38179,28.673462",3550,275,278
1779666046,2026-05-24T23:40:46Z,THY86,"41.382008,28.669884",3625,278,273
1779666048,2026-05-24T23:40:48Z,THY86,"41.382111,28.665588",3750,280,271
1779666050,2026-05-24T23:40:50Z,THY86,"41.382099,28.663017",3800,281,269
1779666052,2026-05-24T23:40:52Z,THY86,"41.382053,28.658897",3925,281,268
1779666054,2026-05-24T23:40:54Z,THY86,"41.381973,28.654541",4025,281,268
1779666056,2026-05-24T23:40:56Z,THY86,"41.381912,28.651283",4125,282,268
1779666058,2026-05-24T23:40:58Z,THY86,"41.381836,28.647949",4200,282,268
1779666061,2026-05-24T23:41:01Z,THY86,"41.38179,28.643433",4325,282,268
1779666063,2026-05-24T23:41:03Z,THY86,"41.381729,28.640108",4400,283,268
1779666065,2026-05-24T23:41:05Z,THY86,"41.38168,28.635927",4500,284,268
