Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1779639007,2026-05-24T16:10:07Z,CES553,"31.145874,121.797882",0,3,90
1779639297,2026-05-24T16:14:57Z,CES553,"31.145378,121.797539",0,5,162
1779639352,2026-05-24T16:15:52Z,CES553,"31.143311,121.798309",0,9,162
1779639375,2026-05-24T16:16:15Z,CES553,"31.142361,121.79866",0,9,162
1779639391,2026-05-24T16:16:31Z,CES553,"31.141924,121.79895",0,8,162
1779639447,2026-05-24T16:17:27Z,CES553,"31.142586,121.801674",0,10,73
1779639498,2026-05-24T16:18:18Z,CES553,"31.143528,121.805046",0,14,73
1779639856,2026-05-24T16:24:16Z,CES553,"31.147625,121.813812",0,5,343
1779640054,2026-05-24T16:27:34Z,CES553,"31.148884,121.813347",0,1,343
1779640378,2026-05-24T16:32:58Z,CES553,"31.153427,121.81163",0,0,343
1779640703,2026-05-24T16:38:23Z,CES553,"31.156311,121.810539",0,0,343
1779640855,2026-05-24T16:40:55Z,CES553,"31.157433,121.81012",0,3,343
1779640935,2026-05-24T16:42:15Z,CES553,"31.158449,121.810364",0,0,67
1779641102,2026-05-24T16:45:02Z,CES553,"31.123856,121.825241",825,8,162
1779641113,2026-05-24T16:45:13Z,CES553,"31.112503,121.830299",1425,194,157
1779641123,2026-05-24T16:45:23Z,CES553,"31.104401,121.834824",1850,194,153
1779641128,2026-05-24T16:45:28Z,CES553,"31.100618,121.837173",2050,195,151
1779641133,2026-05-24T16:45:33Z,CES553,"31.09643,121.83992",2175,196,150
1779641138,2026-05-24T16:45:38Z,CES553,"31.092407,121.842743",2275,197,149
1779641143,2026-05-24T16:45:43Z,CES553,"31.088751,121.845413",2375,199,148
1779641148,2026-05-24T16:45:48Z,CES553,"31.084305,121.848717",2475,201,146
1779641153,2026-05-24T16:45:53Z,CES553,"31.080603,121.851616",2575,203,146
1779641158,2026-05-24T16:45:58Z,CES553,"31.076706,121.854698",2700,204,146
1779641168,2026-05-24T16:46:08Z,CES553,"31.069151,121.860733",2950,205,145
1779641178,2026-05-24T16:46:18Z,CES553,"31.06114,121.867218",3200,206,145
1779641188,2026-05-24T16:46:28Z,CES553,"31.053406,121.873489",3425,206,145
1779641198,2026-05-24T16:46:38Z,CES553,"31.045395,121.880005",3625,212,145
1779641208,2026-05-24T16:46:48Z,CES553,"31.036888,121.886063",3800,214,151
1779641213,2026-05-24T16:46:53Z,CES553,"31.031815,121.887871",3875,217,163
1779641218,2026-05-24T16:46:58Z,CES553,"31.027346,121.888367",3975,216,172
1779641223,2026-05-24T16:47:03Z,CES553,"31.022049,121.887657",4050,215,188
